,Left_Hand_Side,Right_Hand_Side,Support,Confidence,Lift
0,Qualified,STT_OVER500,0.02207505518763797,0.34482758620689663,13.017241379310347
0,MDP_1_Y,Qualified,0.004415011037527594,0.6666666666666666,10.413793103448276
0,MDP3PP_5_15,Qualified,0.004415011037527594,0.2857142857142857,4.463054187192118
0,ATEMP_500_600,Qualified,0.01545253863134658,0.22580645161290322,3.527252502780868
0,Annealing Atomosphere Reductive_True,Qualified,0.011037527593818985,0.21739130434782608,3.395802098950525
0,Qualified,ATIME_360_720,0.026490066225165563,0.4137931034482759,2.5677846008502603
0,Qualified,MDP_1_Ru,0.026490066225165563,0.4137931034482759,1.8934169278996866
0,Qualified,HTEMP_50_100,0.017660044150110375,0.2758620689655173,1.8110944527736135
0,Qualified,HTIME_360_720,0.026490066225165563,0.4137931034482759,1.7197089528630183
0,Qualified,Carbon Paper,0.033112582781456956,0.5172413793103449,1.5939479239971852
0,Qualified,MDP1PP_50_75,0.046357615894039736,0.7241379310344829,1.504745333755141
0,Qualified,Hydrothermal Still,0.033112582781456956,0.5172413793103449,1.4829768659973812
0,Qualified,MDP2PP_40_51,0.02207505518763797,0.34482758620689663,1.3823619163869396
0,Qualified,EPC_OVER1,0.04194260485651214,0.6551724137931035,1.3017241379310347
