Metal_Dopant_1,Metal_Dopant_2,Metal_Dopant_3,Metal_Dopant_4,Sample Name,Category_Label,Metal_Dopant_1_Proportion_Precursor,Metal_Dopant_2_Proportion_Precursor,Metal_Dopant_3_Proportion_Precursor,Metal_Dopant_4_Proportion_Precursor,Hydrothermal/Mixing Temperature (degree),Hydrothermal/Mixing Time (min),Hydrothermal/Mixing Strring/Ultrasonication,Hydrothermal/Mixing Strong Reductant in Liquid,Hydrothermal/Mixing Weak Reductant in Liquid,Hydrothermal/Mixing Mixed in Solid or Liquired,Annealing Temperature (degree),Annealing Rising Rate degree min-1,Annealing Time (min),Annealing Stirring,Annealing Inert Atmosphere,Annealing Reductive Atmosphere,Post ProcessingAcid Wash/Leaching/Quenching/Ultrasonication,Catalyst Loading (mg cm -2),Support Material Loading (mg cm -2),Support not Carbon,Electrode type Glassy Carbon/Carbon Paper (Ti Mesh),LSV Scanning Speed mV s-1,Electrolyte Proton Concentration (M),O2 saturated/1 for yes,Overpotential mV @10 mA cm-2
Ru,K,Mn,Re,B3_400_VARIANCE_#4_High_Quality(#25),variance_high_quliaty_400,40,30,26,4,60,650,1,0,0,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,237
Ru,K,Sr,Ni,B3_400_VARIANCE_#5_High_Quality(#26),variance_high_quliaty_400,41,33,24,2,47,1440,1,0,1,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,211
Na,Ru,Er,In,Failed Sample,variance_high_quliaty_400,43,27,24,6,60,510,1,0,1,0,400,1.67,120,0,0,0,0,0.5,0,0,0,5,1,1,Null
Ru,Na,Ni,Nb,Failed Sample,variance_high_quliaty_400,42,26,24,8,46,1440,1,0,1,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,Null
Ir,Ba,Re,Ag,Failed Sample,variance_high_quliaty_400,57,29,11,3,31,1440,1,0,0,1,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,Null
Ru,Zn,K,Li,B3_500_BEST_#1_Full,best_full_500,59,18,16,7,25,1000,1,0,0,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,244
Ru,Cr,Sm,Li,B3_500_BEST_#2_Full,best_full_500,57,18,16,9,47,1280,1,0,1,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,195
Ru,Zn,Ni,Zr,B3_500_BEST_#3_Full,best_full_500,56,21,17,6,41,1440,1,0,1,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,228
Ru,Zn,K,Li,B3_500_BEST_#4_Full,best_full_500,54,24,20,2,60,1150,1,0,1,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,238
Ru,Mn,La,Ti,B3_500_BEST_#5_Full,best_full_500,53,26,15,6,32,1100,1,0,1,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,184
Ru,Zn,Cr,Li,B3_500_BEST_#6_Full,best_full_500,53,30,12,5,50,1440,1,0,1,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,249
Ru,Sr,K,Li,B3_500_BEST_#7_Full,best_full_500,49,31,10,10,41,1220,1,0,0,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,266
Ru,Sr,K,Li,B3_500_BEST_#8_Full,best_full_500,41,32,17,10,49,1240,1,0,1,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,275
Ru,Sr,Pr,Li,B3_500_BEST_#1_High_Quality(#14),best_high_quliaty_500,60,23,10,7,34,1180,1,0,1,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,194
Ru,Cr,Sr,None,B3_500_BEST_#2_High_Quality(#15),best_high_quliaty_500,60,30,10,0,60,1220,1,0,0,0,500,1.67,120,0,0,0,0,0.5,0,0,0,5,1,1,221
Ru,Na,Ti,None,B3_500_BEST_#3_High_Quality(#16),best_high_quliaty_500,54,32,14,0,60,740,1,0,0,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,238
Ru,K,Li,Gd,B3_500_BEST_#4_High_Quality(#17),best_high_quliaty_500,53,28,15,4,43,770,1,0,0,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,217
Ru,Sr,Na,Li,B3_500_BEST_#5_High_Quality(#18),best_high_quliaty_500,51,27,19,3,38,1170,1,0,1,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,220
