Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,Feature_32,Feature_33,Feature_34,Feature_35,Feature_36,Feature_37,Feature_38,Feature_39,Feature_40,Feature_41,Feature_42,Feature_43,Feature_44,Feature_45,Feature_46,Feature_47,Feature_48,Feature_49,Feature_50,Feature_51,Feature_52,Feature_53,Sample Name,Category_Label,Overpotential mV @10 mA cm-2
101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,39.0983,19.0,4.0,1.0,4.32,0.82,0.0,235.0,87.62,38.0,5.0,2.0,5.67,0.95,10.0,215.0,157.25,64.0,6.0,3.0,6.65,1.2,1.0,179.0,50.0,39.0,10.0,1.0,60.0,610.0,1.0,0.0,1.0,0.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,B5_400_BEST_#1_Full(#12),best_full_400,288
101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,65.38,30.0,4.0,12.0,9.35,1.65,10.0,138.0,87.62,38.0,5.0,2.0,5.67,0.95,10.0,215.0,140.904,59.0,6.0,3.0,5.76,1.13,10.0,182.0,49.0,26.0,19.0,6.0,38.0,510.0,1.0,0.0,0.0,0.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,B5_400_BEST_#1_Full(#13),best_full_400,190
101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,22.9897,11.0,3.0,1.0,5.12,0.93,0.0,190.0,87.62,38.0,5.0,2.0,5.67,0.95,10.0,215.0,140.904,59.0,6.0,3.0,5.76,1.13,10.0,182.0,48.0,24.0,19.0,9.0,51.0,690.0,1.0,0.0,1.0,0.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,B5_400_BEST_#1_Full(#14),best_full_400,246
101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,39.0983,19.0,4.0,1.0,4.32,0.82,0.0,235.0,87.62,38.0,5.0,2.0,5.67,0.95,10.0,215.0,140.904,59.0,6.0,3.0,5.76,1.13,10.0,182.0,47.0,28.0,20.0,5.0,60.0,720.0,1.0,0.0,1.0,0.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,B5_400_BEST_#1_Full(#15),best_full_400,223
101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,65.38,30.0,4.0,12.0,9.35,1.65,10.0,138.0,87.62,38.0,5.0,2.0,5.67,0.95,10.0,215.0,150.36,62.0,6.0,3.0,6.55,1.1,10.0,181.0,47.0,30.0,19.0,4.0,44.0,720.0,1.0,0.0,1.0,0.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,B5_400_BEST_#1_Full(#16),best_full_400,225
101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,39.0983,19.0,4.0,1.0,4.32,0.82,0.0,235.0,87.62,38.0,5.0,2.0,5.67,0.95,10.0,215.0,138.905,57.0,6.0,3.0,5.5,1.1,1.0,187.0,61.0,20.0,13.0,6.0,54.0,560.0,1.0,0.0,1.0,0.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,B5_400_BEST_#1_High_Quality(#17),best_high_quliaty_400,218
101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,40.078,20.0,4.0,2.0,6.09,1.0,0.0,197.0,137.327,56.0,6.0,2.0,5.19,0.89,10.0,222.0,144.242,60.0,6.0,3.0,6.31,1.14,10.0,182.0,59.0,22.0,11.0,8.0,60.0,660.0,1.0,0.0,0.0,0.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,B5_400_BEST_#1_High_Quality(#18),best_high_quliaty_400,186
101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,65.38,30.0,4.0,12.0,9.35,1.65,10.0,138.0,87.62,38.0,5.0,2.0,5.67,0.95,10.0,215.0,144.242,60.0,6.0,3.0,6.31,1.14,10.0,182.0,57.0,22.0,16.0,5.0,36.0,680.0,1.0,0.0,0.0,0.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,B5_400_BEST_#1_High_Quality(#19),best_high_quliaty_400,208
101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,65.38,30.0,4.0,12.0,9.35,1.65,10.0,138.0,54.938,25.0,4.0,7.0,7.4,1.56,5.0,127.0,144.242,60.0,6.0,3.0,6.31,1.14,10.0,182.0,57.0,22.0,13.0,8.0,25.0,640.0,1.0,0.0,1.0,0.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,B5_400_BEST_#1_High_Quality(#20),best_high_quliaty_400,214
101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,87.62,38.0,5.0,2.0,5.67,0.95,10.0,215.0,144.242,60.0,6.0,3.0,6.31,1.14,10.0,182.0,140.904,59.0,6.0,3.0,5.76,1.13,10.0,182.0,55.0,23.0,15.0,7.0,52.0,580.0,1.0,0.0,0.0,0.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,B5_400_BEST_#1_High_Quality(#21),best_high_quliaty_400,245
101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,39.0983,19.0,4.0,1.0,4.32,0.82,0.0,235.0,87.62,38.0,5.0,2.0,5.67,0.95,10.0,215.0,144.242,60.0,6.0,3.0,6.31,1.14,10.0,182.0,53.0,22.0,18.0,7.0,52.0,470.0,1.0,0.0,0.0,0.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,B5_400_BEST_#1_High_Quality(#22),best_high_quliaty_400,206
101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,40.078,20.0,4.0,2.0,6.09,1.0,0.0,197.0,87.62,38.0,5.0,2.0,5.67,0.95,10.0,215.0,144.242,60.0,6.0,3.0,6.31,1.14,10.0,182.0,52.0,24.0,18.0,6.0,53.0,510.0,1.0,0.0,1.0,0.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,B5_400_BEST_#1_High_Quality(#23),best_high_quliaty_400,154
101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,22.9897,11.0,3.0,1.0,5.12,0.93,0.0,190.0,87.62,38.0,5.0,2.0,5.67,0.95,10.0,215.0,144.242,60.0,6.0,3.0,6.31,1.14,10.0,182.0,52.0,25.0,14.0,9.0,32.0,550.0,1.0,0.0,0.0,0.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,B5_400_BEST_#1_High_Quality(#24),best_high_quliaty_400,208
101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,26.9815,13.0,3.0,13.0,5.95,1.61,0.0,143.0,87.62,38.0,5.0,2.0,5.67,0.95,10.0,215.0,157.25,64.0,6.0,3.0,6.65,1.2,1.0,179.0,51.0,27.0,17.0,5.0,26.0,410.0,1.0,0.0,1.0,0.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,B5_400_BEST_#1_High_Quality(#25),best_high_quliaty_400,193
101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,39.0983,19.0,4.0,1.0,4.32,0.82,0.0,235.0,87.62,38.0,5.0,2.0,5.67,0.95,10.0,215.0,91.224,40.0,5.0,4.0,6.0,1.33,2.0,160.0,50.0,23.0,21.0,6.0,60.0,850.0,1.0,0.0,0.0,0.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,B5_400_BEST_#1_High_Quality(#26),best_high_quliaty_400,227
101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,39.0983,19.0,4.0,1.0,4.32,0.82,0.0,235.0,6.941,3.0,2.0,1.0,5.37,0.98,0.0,145.0,22.9897,11.0,3.0,1.0,5.12,0.93,0.0,190.0,48.0,40.0,8.0,4.0,60.0,620.0,1.0,0.0,1.0,0.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,B5_400_BEST_#1_High_Quality(#27),best_high_quliaty_400,240
101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,39.0983,19.0,4.0,1.0,4.32,0.82,0.0,235.0,140.904,59.0,6.0,3.0,5.76,1.13,10.0,182.0,144.242,60.0,6.0,3.0,6.31,1.14,10.0,182.0,47.0,29.0,20.0,4.0,60.0,720.0,1.0,0.0,1.0,0.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,B5_400_BEST_#1_High_Quality(#28),best_high_quliaty_400,188
