Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,Feature_32,Feature_33,Feature_34,Feature_35,Feature_36,Feature_37,Feature_38,Feature_39,Feature_40,Feature_41,Feature_42,Feature_43,Feature_44,Feature_45,Feature_46,Feature_47,Feature_48,Feature_49,Feature_50,Feature_51,Feature_52,Feature_53,Sample Name,Category_Label,Overpotential mV @10 mA cm-2
39.0983,19.0,4.0,1.0,4.32,0.82,0.0,235.0,101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,192.217,77.0,6.0,9.0,9.1,2.2,7.0,136.0,144.242,60.0,6.0,3.0,6.31,1.14,10.0,182.0,40.0,39.0,13.0,8.0,38.0,650.0,1.0,0.0,0.0,0.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,B2_400#14,best_high_quliaty_400,218
39.0983,19.0,4.0,1.0,4.32,0.82,0.0,235.0,101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,192.217,77.0,6.0,9.0,9.1,2.2,7.0,136.0,157.25,64.0,6.0,3.0,6.65,1.2,1.0,179.0,45.0,41.0,10.0,4.0,36.0,660.0,1.0,0.0,0.0,0.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,B2_400#16,best_high_quliaty_400,253
39.0983,19.0,4.0,1.0,4.32,0.82,0.0,235.0,101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,192.217,77.0,6.0,9.0,9.1,2.2,7.0,136.0,180.947,73.0,6.0,5.0,7.89,1.5,3.0,149.0,60.0,25.0,10.0,5.0,30.0,750.0,1.0,0.0,0.0,0.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,B2_400#17,best_high_quliaty_400,250
39.0983,19.0,4.0,1.0,4.32,0.82,0.0,235.0,101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,192.217,77.0,6.0,9.0,9.1,2.2,7.0,136.0,114.818,49.0,5.0,13.0,8.95,1.78,10.0,166.0,51.0,25.0,17.0,7.0,59.0,890.0,1.0,0.0,0.0,0.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,B2_400#18,best_high_quliaty_400,272
39.0983,19.0,4.0,1.0,4.32,0.82,0.0,235.0,101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,107.868,47.0,5.0,11.0,7.54,1.93,10.0,144.0,95.94,42.0,5.0,6.0,7.35,2.16,5.0,139.0,44.0,42.0,10.0,4.0,60.0,1440.0,1.0,0.0,0.0,0.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,B2_400#6,variance_full_400,350
39.0983,19.0,4.0,1.0,4.32,0.82,0.0,235.0,101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,192.217,77.0,6.0,9.0,9.1,2.2,7.0,136.0,150.36,62.0,6.0,3.0,6.55,1.1,10.0,181.0,39.0,39.0,11.0,11.0,60.0,1440.0,1.0,0.0,0.0,0.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,B2_400#20,variance_full_400,274
58.6934,28.0,4.0,10.0,7.61,1.91,8.0,124.0,196.966,79.0,6.0,11.0,9.19,2.54,10.0,144.0,192.217,77.0,6.0,9.0,9.1,2.2,7.0,136.0,95.94,42.0,5.0,6.0,7.35,2.16,5.0,139.0,44.0,28.0,26.0,2.0,60.0,1400.0,1.0,0.0,0.0,1.0,500.0,120.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,5.0,1.0,Failed Sample,variance_full_400,Null
58.6934,28.0,4.0,10.0,7.61,1.91,8.0,124.0,196.966,79.0,6.0,11.0,9.19,2.54,10.0,144.0,192.217,77.0,6.0,9.0,9.1,2.2,7.0,136.0,107.868,47.0,5.0,11.0,7.54,1.93,10.0,144.0,48.0,25.0,25.0,2.0,60.0,1440.0,1.0,0.0,0.0,1.0,500.0,120.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,5.0,1.0,Failed Sample,variance_full_400,Null
58.6934,28.0,4.0,10.0,7.61,1.91,8.0,124.0,196.966,79.0,6.0,11.0,9.19,2.54,10.0,144.0,192.217,77.0,6.0,9.0,9.1,2.2,7.0,136.0,91.224,40.0,5.0,4.0,6.0,1.33,2.0,160.0,53.0,24.0,18.0,5.0,41.0,1440.0,1.0,0.0,0.0,0.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,Failed Sample,variance_full_400,Null
58.6934,28.0,4.0,10.0,7.61,1.91,8.0,124.0,196.966,79.0,6.0,11.0,9.19,2.54,10.0,144.0,192.217,77.0,6.0,9.0,9.1,2.2,7.0,136.0,92.906,41.0,5.0,5.0,6.76,1.6,4.0,146.0,41.0,36.0,21.0,2.0,26.0,1440.0,1.0,0.0,0.0,0.0,500.0,120.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,5.0,1.0,Failed Sample,variance_full_400,Null
101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,54.938,25.0,4.0,7.0,7.4,1.56,5.0,127.0,180.947,73.0,6.0,5.0,7.89,1.5,3.0,149.0,22.9897,11.0,3.0,1.0,5.12,0.93,0.0,190.0,40.0,31.0,20.0,9.0,40.0,800.0,1.0,0.0,0.0,0.0,500.0,120.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,5.0,1.0,Failed Sample,variance_full_400,Null
87.62,38.0,5.0,2.0,5.67,0.95,10.0,215.0,101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,157.25,64.0,6.0,3.0,6.65,1.2,1.0,179.0,91.224,40.0,5.0,4.0,6.0,1.33,2.0,160.0,42.0,41.0,9.0,8.0,42.0,700.0,1.0,0.0,0.0,0.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,Failed Sample,variance_full_400,Null
39.0983,19.0,4.0,1.0,4.32,0.82,0.0,235.0,101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,192.217,77.0,6.0,9.0,9.1,2.2,7.0,136.0,167.529,68.0,6.0,3.0,6.108,1.23,10.0,178.0,54.0,23.0,15.0,8.0,60.0,670.0,1.0,0.0,0.0,0.0,500.0,120.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,5.0,1.0,B2_400#15,variance_high_quliaty_400,296
39.0983,19.0,4.0,1.0,4.32,0.82,0.0,235.0,101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,192.217,77.0,6.0,9.0,9.1,2.2,7.0,136.0,114.818,49.0,5.0,13.0,8.95,1.78,10.0,166.0,51.0,25.0,17.0,7.0,59.0,890.0,1.0,0.0,0.0,0.0,500.0,120.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5.0,1.0,B2_400#18,variance_high_quliaty_400,272
196.966,79.0,6.0,11.0,9.19,2.54,10.0,144.0,6.941,3.0,2.0,1.0,5.37,0.98,0.0,145.0,192.217,77.0,6.0,9.0,9.1,2.2,7.0,136.0,107.868,47.0,5.0,11.0,7.54,1.93,10.0,144.0,63.0,20.0,15.0,2.0,25.0,1440.0,1.0,0.0,0.0,0.0,500.0,120.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,5.0,1.0,Failed Sample,variance_high_quliaty_400,Null
196.966,79.0,6.0,11.0,9.19,2.54,10.0,144.0,6.941,3.0,2.0,1.0,5.37,0.98,0.0,145.0,192.217,77.0,6.0,9.0,9.1,2.2,7.0,136.0,101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,43.0,34.0,19.0,4.0,26.0,1440.0,1.0,0.0,0.0,0.0,500.0,120.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,5.0,1.0,Failed Sample,variance_high_quliaty_400,Null
196.966,79.0,6.0,11.0,9.19,2.54,10.0,144.0,6.941,3.0,2.0,1.0,5.37,0.98,0.0,145.0,192.217,77.0,6.0,9.0,9.1,2.2,7.0,136.0,180.947,73.0,6.0,5.0,7.89,1.5,3.0,149.0,43.0,29.0,19.0,9.0,52.0,1440.0,1.0,0.0,0.0,0.0,500.0,120.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,5.0,1.0,Failed Sample,variance_high_quliaty_400,Null
196.966,79.0,6.0,11.0,9.19,2.54,10.0,144.0,6.941,3.0,2.0,1.0,5.37,0.98,0.0,145.0,101.07,44.0,5.0,8.0,7.5,2.2,7.0,134.0,87.62,38.0,5.0,2.0,5.67,0.95,10.0,215.0,45.0,30.0,16.0,9.0,47.0,1440.0,1.0,0.0,0.0,0.0,500.0,120.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,5.0,1.0,Failed Sample,variance_high_quliaty_400,Null
