Metal_Dopant_1,Metal_Dopant_2,Metal_Dopant_3,Metal_Dopant_4,Sample Name,Category_Label,Metal_Dopant_1_Proportion_Precursor,Metal_Dopant_2_Proportion_Precursor,Metal_Dopant_3_Proportion_Precursor,Metal_Dopant_4_Proportion_Precursor,Hydrothermal/Mixing Temperature (degree),Hydrothermal/Mixing Time (min),Hydrothermal/Mixing Strring/Ultrasonication,Hydrothermal/Mixing Strong Reductant in Liquid,Hydrothermal/Mixing Weak Reductant in Liquid,Hydrothermal/Mixing Mixed in Solid or Liquired,Annealing Temperature (degree),Annealing Rising Rate degree min-1,Annealing Time (min),Annealing Stirring,Annealing Inert Atmosphere,Annealing Reductive Atmosphere,Post ProcessingAcid Wash/Leaching/Quenching/Ultrasonication,Catalyst Loading (mg cm -2),Support Material Loading (mg cm -2),Support not Carbon,Electrode type Glassy Carbon/Carbon Paper (Ti Mesh),LSV Scanning Speed mV s-1,Electrolyte Proton Concentration (M),O2 saturated/1 for yes,Overpotential mV @10 mA cm-2
Na,Li,F,Ru,B4_400_VARIANCE_#4_High_Quality(#28),variance_high_quliaty_400,41,28,21,10,31,1440,1,0,0,0,400,1.67,120,0,0,0,0,0.5,0,0,0,5,1,1,370
Ru,Li,N,K,B4_400_VARIANCE_#5_High_Quality(#29),variance_high_quliaty_400,32,31,27,10,55,1440,1,0,1,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,273
Li,Na,F,Ru,B4_400_VARIANCE_#6_High_Quality(#30),variance_high_quliaty_400,51,27,13,9,32,1190,1,0,1,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,382
Ca,Ru,N,Zn,B4_400_VARIANCE_#7_High_Quality(#31),variance_high_quliaty_400,54,21,18,7,60,1440,1,0,0,0,400,1.67,120,0,0,0,0,0.5,0,0,0,5,1,1,302
Ru,Ca,N,K,B4_400_VARIANCE_#8_High_Quality(#32),variance_high_quliaty_400,59,21,13,7,54,1440,1,0,1,0,400,1.67,120,0,0,0,0,0.5,0,0,0,5,1,1,201
Ru,Mn,Sm,Li,B4_500_BEST_#1_Full,best_full_500,58,26,12,4,32,1230,1,0,1,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,175
Ru,Mn,Pr,La,B4_500_BEST_#2_Full,best_full_500,56,23,16,5,38,1160,1,0,1,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,247
Ru,Mn,Pr,Ta,B4_500_BEST_#3_Full,best_full_500,55,29,9,7,42,1280,1,0,1,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,216
Ru,Ca,Ba,Gd,B4_500_BEST_#4_Full,best_full_500,51,27,16,6,53,1110,1,0,1,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,199
Ru,Mn,Sr,Pr,B4_500_BEST_#5_Full,best_full_500,47,30,19,4,60,880,1,0,0,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,203
Ru,Mn,Pr,Er,B4_500_BEST_#6_Full,best_full_500,46,39,10,5,49,740,1,0,0,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,245
Ru,Mn,Er,Pr,B4_500_BEST_#7_Full,best_full_500,46,38,14,2,48,970,1,0,0,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,255
