Ru,Sr,Ni,Gd,68,16,11,5,31,643,1,0,1,188
Ru,Zn,Sr,Pr,65,22,8,5,45,517,1,0,1,190
Ru,Zn,Ni,Nd,63,26,9,2,47,561,1,0,1,209
Ru,Zn,Ca,Pr,61,27,7,5,43,627,1,0,1,188
Ru,Zn,Sr,Ta,61,19,14,6,60,714,1,0,1,303
Ru,Cr,Sr,Nd,60,22,13,5,60,690,0,0,1,198
Ru,Zn,Sr,Er,59,24,11,6,60,577,0,0,1,267
Ru,Ni,Sr,Nd,57,23,15,5,27,714,0,0,1,212
Ru,Zn,Mn,Pr,55,26,15,4,60,608,1,0,1,200
Ru,Ca,Sr,Nd,52,31,11,6,33,732,1,0,1,177
Ru,K,Na,Gd,50,27,17,6,60,610,0,0,1,246
Ru,K,Sr,Gd,50,39,10,1,60,603,1,0,1,288
Ru,Zn,Sr,Pr,49,26,19,6,38,505,0,0,1,190
Ru,Na,Sr,Pr,48,24,19,9,51,681,1,0,1,246
Ru,K,Sr,Pr,47,28,20,5,60,711,1,0,1,223
Ru,Zn,Sr,Sm,47,30,19,4,44,715,1,0,1,225
Ru,K,Sr,La,61,20,13,6,54,559,1,0,1,218
Ru,Ca,Ba,Nd,59,22,11,8,60,655,0,0,1,186
Ru,Zn,Sr,Nd,57,22,16,5,36,671,0,0,1,208
Ru,Zn,Mn,Nd,57,22,13,8,25,635,1,0,1,214
Ru,Sr,Nd,Pr,55,23,15,7,52,575,0,0,1,245
Ru,K,Sr,Nd,53,22,18,7,52,464,0,0,1,206
Ru,Ca,Sr,Nd,52,24,18,6,53,503,1,0,1,154
Ru,Na,Sr,Nd,52,25,14,9,32,543,0,0,1,208
Ru,Al,Sr,Gd,51,27,17,5,26,407,1,0,1,193
Ru,K,Sr,Zr,50,23,21,6,60,843,0,0,1,227
Ru,K,Li,Na,48,40,8,4,60,620,1,0,1,240
Ru,K,Pr,Nd,47,29,20,4,60,715,1,0,1,188
Ru,Mn,Sr,Er,47,29,21,3,26,364,1,0,1,237
Ru,K,Li,Pr,46,31,19,4,60,645,1,0,1,234
Ru,K,Sr,Nb,46,31,18,5,45,625,0,0,1,255
Ru,K,Sr,Er,43,39,11,7,60,365,0,0,1,214
