Ru,K,Sr,Pr,50,26,18,6,60,668,0,0,1,258
Ru,Zn,Sr,Ta,62,20,11,7,60,599,0,0,1,243
Ru,Zn,Sr,Pr,60,24,12,4,33,586,0,0,1,259
Ru,Ca,K,Pr,58,25,13,4,60,651,1,0,1,193
Ru,Zn,Ba,Pr,57,31,8,4,60,551,1,0,1,214
Ru,Zn,Sr,Nd,56,26,13,5,30,642,1,0,1,204
Ru,Ca,Sr,Ta,52,26,20,2,54,662,1,0,1,225
Ru,Sn,Sr,Pr,52,25,18,5,60,593,1,0,1,215
Ru,Zn,Sr,Er,51,25,17,7,60,711,1,0,1,264
Ru,K,Sr,Er,50,26,19,5,60,450,1,0,1,216
Ru,Zn,Sr,Pr,48,28,17,7,56,674,0,0,1,209
Ru,Sr,Ba,Gd,48,34,13,5,60,714,1,0,1,220
Ru,Cr,Sr,Nd,48,30,19,3,46,438,0,0,1,220
Ru,K,Sr,Nd,47,27,18,8,60,440,1,0,1,199
Ru,K,Ca,Pr,47,28,16,9,60,671,1,0,1,193
Ru,Mn,Ca,Pr,47,24,20,9,60,630,1,0,1,182
Ru,Zn,Sr,Pr,60,19,15,6,45,447,1,0,1,215
Ru,K,Sr,Pr,60,25,13,2,60,375,1,0,1,209
Ru,Ca,Sr,Pr,59,24,14,3,53,489,0,0,1,192
Ru,Mn,Sr,Pr,59,26,10,5,42,581,1,0,1,215
Ru,Ni,Sr,Nd,58,23,14,5,60,643,1,0,1,208
Ru,Zn,Sr,Gd,58,23,14,5,60,473,0,0,1,215
Ru,Zn,Sr,Nd,57,22,18,3,46,702,1,0,1,219
Ru,Zn,Sr,Pr,56,28,10,6,60,679,0,0,1,195
Ru,Mn,Sr,Nd,54,22,15,9,60,666,0,0,1,196
Ru,K,Sr,Nd,53,28,14,5,60,640,1,0,1,220
Ru,Zn,Sr,Gd,53,28,17,2,60,726,0,0,1,356
Ru,K,Sr,Pr,52,29,12,7,60,460,1,0,1,188
Ru,Mn,Sr,Pr,48,29,20,3,39,704,1,0,1,217
Ru,Zn,Sr,Pr,47,27,19,7,60,542,0,0,1,196
Ru,K,Sr,Gd,47,39,10,4,60,697,1,0,1,213
Ru,Ca,Sr,Nd,46,28,17,9,60,563,1,0,1,168
