Feb. 20, 2023   15:52:43
Linear Sweep Voltammetry
File: d:\current work\al_oer\electrochemical test data\batch 3\400\B3_VARIANCE_400_#1_Full(#9)-294mV.txt
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 1.023

Final E (V) = 1.532


Scan Rate (V/s) = 0.010
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001

Results:

Channel 1:

Potential/V, Current/A
1.269,   2.901E-05
1.27,   2.893E-05
1.271,   2.910E-05
1.272,   2.929E-05
1.273,   2.948E-05
1.274,   2.978E-05
1.275,   2.985E-05
1.276,   3.028E-05
1.277,   3.037E-05
1.278,   3.057E-05
1.279,   3.073E-05
1.28,   3.107E-05
1.281,   3.115E-05
1.282,   3.133E-05
1.283,   3.148E-05
1.284,   3.177E-05
1.285,   3.206E-05
1.286,   3.228E-05
1.287,   3.259E-05
1.288,   3.295E-05
1.289,   3.292E-05
1.29,   3.307E-05
1.291,   3.356E-05
1.292,   3.367E-05
1.293,   3.392E-05
1.294,   3.418E-05
1.295,   3.436E-05
1.296,   3.488E-05
1.297,   3.504E-05
1.298,   3.534E-05
1.299,   3.568E-05
1.3,   3.605E-05
1.301,   3.631E-05
1.302,   3.671E-05
1.303,   3.706E-05
1.304,   3.734E-05
1.305,   3.769E-05
1.306,   3.811E-05
1.307,   3.844E-05
1.308,   3.875E-05
1.309,   3.934E-05
1.31,   3.987E-05
1.311,   4.025E-05
1.312,   4.087E-05
1.313,   4.156E-05
1.314,   4.204E-05
1.315,   4.269E-05
1.316,   4.315E-05
1.317,   4.382E-05
1.318,   4.467E-05
1.319,   4.523E-05
1.32,   4.599E-05
1.321,   4.686E-05
1.322,   4.773E-05
1.323,   4.846E-05
1.324,   4.937E-05
1.325,   5.047E-05
1.326,   5.142E-05
1.327,   5.252E-05
1.328,   5.375E-05
1.329,   5.490E-05
1.33,   5.604E-05
1.331,   5.718E-05
1.332,   5.869E-05
1.333,   6.019E-05
1.334,   6.184E-05
1.335,   6.325E-05
1.336,   6.490E-05
1.337,   6.677E-05
1.338,   6.864E-05
1.339,   7.074E-05
1.34,   7.289E-05
1.341,   7.504E-05
1.342,   7.732E-05
