,Metal_Dopant_1 Relative Atomic Mass,Metal_Dopant_1 Atomic Number,Metal_Dopant_1 Period,Metal_Dopant_1 Group,Metal_Dopant_1 Ionization Potential,Metal_Dopant_1 Electronegativity,Metal_Dopant_1 Number of d electrons,Metal_Dopant_1 Atomic Radius,Metal_Dopant_2 Relative Atomic Mass,Metal_Dopant_2 Atomic Number,Metal_Dopant_2 Period,Metal_Dopant_2 Group,Metal_Dopant_2 Ionization Potential,Metal_Dopant_2 Electronegativity,Metal_Dopant_2 Number of d electrons,Metal_Dopant_2 Atomic Radius,Metal_Dopant_3 Relative Atomic Mass,Metal_Dopant_3 Atomic Number,Metal_Dopant_3 Period,Metal_Dopant_3 Group,Metal_Dopant_3 Ionization Potential,Metal_Dopant_3 Electronegativity,Metal_Dopant_3 Number of d electrons,Metal_Dopant_3 Atomic Radius,Metal_Dopant_4 Relative Atomic Mass,Metal_Dopant_4 Atomic Number,Metal_Dopant_4 Period,Metal_Dopant_4 Group,Metal_Dopant_4 Ionization Potential,Metal_Dopant_4 Electronegativity,Metal_Dopant_4 Number of d electrons,Metal_Dopant_4 Atomic Radius,Metal_Dopant_1_Proportion_Precursor,Metal_Dopant_2_Proportion_Precursor,Metal_Dopant_3_Proportion_Precursor,Metal_Dopant_4_Proportion_Precursor,Hydrothermal/Mixing Temperature (degree),Hydrothermal/Mixing Time (min),Hydrothermal/Mixing Strring/Ultrasonication,Hydrothermal/Mixing Strong Reductant in Liquid,Hydrothermal/Mixing Weak Reductant in Liquid,Hydrothermal/Mixing Mixed in Solid or Liquired,Annealing Temperature (degree),Annealing Time (min),Annealing Stirring,Annealing Inert Atmosphere,Annealing Reductive Atmosphere,Post ProcessingAcid Wash/Leaching/Quenching/Ultrasonication,Catalyst Loading (mg cm -2),Support Material Loading (mg cm -2),Support not Carbon,Electrode type Glassy Carbon/Carbon Paper (Ti Mesh),LSV Scanning Speed mV s-1,Electrolyte Proton Concentration (M)
Metal_Dopant_1 Relative Atomic Mass,0.0,0.18917972238443903,0.19668180805066415,0.32697330620807713,0.3710707074303752,0.28731178203790014,0.32700719684367174,0.4131976054498978,0.39382577564331184,0.6301055523614507,0.3037342154434357,0.26140874093214056,0.3345641185071113,0.27847181865698034,0.31770071872181277,0.4158698212286404,0.30297752773032643,0.1854545584737893,0.1757806683686258,0.4375005220668823,0.44261272572109395,0.2644986585706073,0.28532642178215545,0.25583671059142205,0.05669443718278579,0.1991203505959702,0.11596059780583019,0.1063997407214331,0.17990085384298451,0.07902116964620634,0.4102226116699539,0.10638200657712475,0.36923930357623175,0.2638861184320637,0.43013572485157514,0.11841184237814464,0.2805391975904989,0.3625962838764158,0.335136721348122,0.10688949801276315,0.10928914263684882,0.4701421966491609,0.13285759320460702,0.46472588844495233,0.05940493910580854,0.7038813870124045,0.10847531174964047,0.7800637995310737,0.18526606235601648,0.47531291253067354,0.11784398655537569,0.4473319911373132,0.27617876864602126,0.5337175515940883
Metal_Dopant_1 Atomic Number,0.18917972238443903,0.0,0.19139066667148052,0.22746504022734101,0.20128208493813657,0.20515611911764264,0.1445071178079451,0.2865081665392343,0.18878822455006106,0.3814352564566805,0.10695727974951641,0.2027678210125488,0.19505391092381716,0.19237537688462514,0.30001400226934943,0.3145186688011779,0.20443068144009283,0.1482776186763204,0.11702494206673639,0.303678474408525,0.20270562979642112,0.23461396356137887,0.26277144724704904,0.1086449239628497,0.05447206356891316,0.06293459029765935,0.22962831298102782,0.09370948642283496,0.11649615391661837,0.21131612597337457,0.23301843336028288,0.04662645472904109,0.2483886914653126,0.24643177671696478,0.25086710402746315,0.04952742589581877,0.16372570963837005,0.20240500751936,0.24169672388792296,0.13399889472699306,0.6174806632732559,0.16405161435860025,0.10216873283428204,0.32444226887412314,0.098988443055216,0.3792971980645062,0.08193991772452895,0.4768466648513206,0.11287944363717876,0.34462114619477796,0.06305843376797268,0.3669352324879857,0.18924646000453552,0.24396225359648543
Metal_Dopant_1 Period,0.19668180805066415,0.19139066667148052,0.0,0.3592413309094871,0.3242737994777221,0.2521182809582962,0.15314610054733496,0.33300614375936566,0.31596712317024106,0.3763104698864258,0.0,0.2773321884441542,0.24593798341424697,0.24131390326851523,0.3509340909767698,0.3558738056262139,0.28375018920584333,0.12165472571527301,0.0,0.28799593728220907,0.1591201421944908,0.37287850322981947,0.2568033539999494,0.25585709564092735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2965679419352156,0.34217319012016756,0.366311340925047,0.11530865144254683,0.21691730103476395,0.3466708419316727,0.16198179925594472,0.10299225366919246,0.07235180392671572,0.1827454055161332,0.2020854504948812,0.3315776862346055,0.0,0.2638791898063204,0.041280823002721644,0.4443090934669163,0.13587617031088123,0.42586435642206155,0.1117690063564657,0.407830219249428,0.36733516490888984,0.34266729018936487
Metal_Dopant_1 Group,0.32697330620807713,0.22746504022734101,0.3592413309094871,0.0,0.7110439492023698,0.3999976205763003,0.3549312435563901,0.7147426485535285,0.5108203686727719,0.3910947582351146,0.17029883517230682,0.37329971559365743,0.4008474209676436,0.5469013070650096,0.5459238217325392,0.5403863239085286,0.3373469030011755,0.12750311727715996,0.17827300623785133,0.4246314371351448,0.3833365830997742,0.4094126121566706,0.32531634937480636,0.3560115660625757,0.0787407264043211,0.335902198690252,0.10706729698493057,0.16863074838757824,0.19331563447964098,0.07412380629271699,0.1916889257439103,0.052899430864313764,0.707997987487235,0.593364823386177,0.4914702241811971,0.060214117171566765,0.4655779227759228,0.5707453903702245,0.283461848143262,0.17801864849450288,0.250112948104767,0.24183156518812943,0.3397783330798593,0.6243462748865595,0.13754241280569854,0.30941306982351857,0.24616009583913745,0.7122699066590642,0.36312635068596383,0.7337943872061065,0.20650988731532055,0.44945058206508093,0.438268410169636,0.7290199078692721
Metal_Dopant_1 Ionization Potential,0.3710707074303752,0.20128208493813657,0.3242737994777221,0.7110439492023698,0.0,0.5711945525461786,0.20369560097916048,0.7583100851256281,0.5143568985673187,0.25318963821317547,0.11543007712385436,0.4452970524924053,0.6115359598338233,0.4947502043026953,0.4436608771971631,0.3868699268831098,0.4573542056857852,0.15961659001048684,0.09652810675728227,0.37594370534760746,0.24514174265282956,0.08998541994663836,0.3229428169715534,0.36328229106391874,0.0627456199985029,0.08408803377615617,0.09495974008715562,0.048132483905640726,0.12814457112062297,0.06823062264861146,0.10217447826139665,0.11506862013296859,0.6873881920312823,0.7720561138072738,0.43474277446860243,0.08389085459524416,0.7046398061651978,0.7879047291449119,0.3285429469251797,0.11559740380000408,0.12118081697171657,0.2643065278294036,0.6483116231725267,0.6242430800682288,0.33618904944013367,0.365213774552637,0.11607944103304663,0.7274405951580605,0.7456541910846546,0.7333925191723996,0.20494097222326907,0.3521120778856111,0.5458031241678006,0.6851670537501844
Metal_Dopant_1 Electronegativity,0.28731178203790014,0.20515611911764264,0.2521182809582962,0.3999976205763003,0.5711945525461786,0.0,0.2875729674374251,0.7902397256212847,0.6183468895888103,0.21074532517822356,0.05534865133311734,0.3635253325971473,0.6990750049380012,0.6201016253435563,0.5233719256833409,0.45299664460395817,0.37238521342559094,0.11597139843837342,0.16908352670937324,0.4094955601629367,0.29413616608412435,0.19415301612524974,0.15426032522331135,0.4320766977945248,0.05313596643475686,0.1533607621716386,0.12093618414678887,0.09373297108763233,0.1770055087691008,0.11947965667011246,0.1588078822277725,0.1776462075458107,0.7673263179422778,0.5537943397296049,0.41858392711914594,0.06924425016349647,0.42569733757490597,0.7093859744897739,0.37411667334129195,0.19785198651467356,0.16977097168200517,0.2749210131063417,0.4366054584178401,0.6499592532256204,0.0504216997402219,0.2812786907950941,0.09709779740716605,0.5571987270033963,0.493261304962489,0.6451119089193403,0.23189066785116877,0.6199262929413956,0.5755357691502905,0.7133382528346486
Metal_Dopant_1 Number of d electrons,0.32700719684367174,0.1445071178079451,0.15314610054733496,0.3549312435563901,0.20369560097916048,0.2875729674374251,0.0,0.4003356965898081,0.345744411737792,0.7246534732998712,0.14015816136469514,0.21949497515619645,0.28917371438758516,0.19099624705436957,0.4644745975769624,0.3757950873511984,0.5846912800099691,0.1594965395489594,0.09483044522660636,0.3344848531391165,0.2973782215667686,0.269546629602402,0.21890221453537606,0.1426357346560645,0.03971253589215326,0.5043144401627215,0.12951576051439104,0.10408755024987558,0.08504631841746625,0.5576617481357514,0.10310068557826738,0.0783614504893752,0.3835945520971527,0.2446605649613967,0.5678129081816837,0.16070566107038514,0.2466948108025731,0.2846261216085837,0.21363564001159788,0.18052634415041355,0.47999820798285436,0.3618797001411669,0.16261852804581706,0.4136443296770323,0.16348981768263898,0.6199918008476166,0.04527021822831275,0.5658553896331452,0.1410806271636464,0.4388308712135821,0.10474144750748446,0.3696285721535484,0.21530262852901624,0.29942955551509515
Metal_Dopant_1 Atomic Radius,0.4131976054498978,0.2865081665392343,0.33300614375936566,0.7147426485535285,0.7583100851256281,0.7902397256212847,0.4003356965898081,0.0,0.6923673590207978,0.4278244800276411,0.140481452650823,0.46605718215524666,0.7644941756265021,0.682987520868776,0.7275022777781102,0.6518390058400528,0.4671303641163423,0.14586927929316382,0.15480521634445144,0.6552697413691572,0.34179439864838573,0.3782115185449263,0.41486853050137373,0.6884387832506927,0.26919319372333017,0.14508399405849912,0.09804853212990455,0.22119481319165005,0.28527237453713195,0.07556512775734374,0.2781177979550796,0.3209375437234644,0.7456465205748564,0.6124855843079489,0.7779141331877476,0.138614193804719,0.5039514085139729,0.7049815786312252,0.5601048897222365,0.16470567104142722,0.11613264804511532,0.5113093640020918,0.3729248500663349,0.8127824871014104,0.15571191755122846,0.5838414333758363,0.2912604347394652,0.7889904106309685,0.5138481012344712,0.7908188591693602,0.24851225015902487,0.8018031247587037,0.6866959731951232,0.7589361574172006
Metal_Dopant_2 Relative Atomic Mass,0.39382577564331184,0.18878822455006106,0.31596712317024106,0.5108203686727719,0.5143568985673187,0.6183468895888103,0.345744411737792,0.6923673590207978,0.0,0.47325996896518424,0.17923757911505542,0.4232907062750095,0.7558939645838353,0.5924503606655919,0.7186727409517633,0.6031469645782015,0.5682508938506436,0.11789958914518223,0.19563082588291444,0.5513072012471139,0.2815894808191116,0.3113864540311906,0.3646045785929182,0.5500990314282322,0.08029860272910078,0.14874786010451224,0.12691526318180837,0.0917472442776481,0.060580356933068104,0.18082765702514728,0.06877310655000093,0.07866183832758002,0.6664234699006027,0.48065730869752066,0.5081368207696362,0.08365531960380514,0.47318932671567815,0.5778166819756183,0.44012135844093203,0.20359384946385925,0.1285625918588567,0.44366401413769674,0.35906221522364773,0.7726333578812202,0.2167091902430211,0.4033035648974091,0.10166358332388688,0.7915216044504912,0.42895134115004213,0.7590227624146654,0.2243148925506478,0.5921384952334897,0.42964123096108714,0.6651153670130402
Metal_Dopant_2 Atomic Number,0.6301055523614507,0.3814352564566805,0.3763104698864258,0.3910947582351146,0.25318963821317547,0.21074532517822356,0.7246534732998712,0.4278244800276411,0.47325996896518424,0.0,0.5477690246736918,0.31253186214926226,0.3989732468709602,0.33807445695147165,0.5161637775345873,0.5201092400953197,0.532708899983945,0.47513628412079495,0.5676111701892146,0.7509301986021942,0.5425255535442244,0.0,0.5038674255372484,0.38770826861563107,0.25388935257712053,0.0,0.44492365281395413,0.0,0.5081245923574524,0.0,0.0,0.20977270218584537,0.3945803290035743,0.4858597782811844,0.5284537675584652,0.380549800806094,0.24565916772133367,0.468794957215922,0.4569379093328622,0.19057706375646474,0.40199698194544714,0.5918637491288207,0.20667337115287424,0.4752332340791253,0.25106667397859994,0.7307793930271408,0.22183622400921507,0.604039372923415,0.12801275704664555,0.5469506341016106,0.3154196740647023,0.7060570495589068,0.30010245620583303,0.4068130514113023
