Jan. 19, 2023   12:22:31
Linear Sweep Voltammetry
File: d:\current work\al_oer\electrochemical test data\batch 2\500\B2_BEST_500#13_Full-377mV.txt
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 1.099

Final E (V) = 1.798


Scan Rate (V/s) = 0.010
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001

Results:

Channel 1:

Potential/V, Current/A
1.344,   1.414e-5
1.345,   1.419e-5
1.346,   1.426e-5
1.347,   1.431e-5
1.348,   1.435e-5
1.349,   1.446e-5
1.350,   1.449e-5
1.351,   1.452e-5
1.352,   1.460e-5
1.353,   1.466e-5
1.354,   1.471e-5
1.355,   1.479e-5
1.356,   1.485e-5
1.357,   1.494e-5
1.358,   1.496e-5
1.359,   1.507e-5
1.360,   1.510e-5
1.361,   1.518e-5
1.362,   1.527e-5
1.363,   1.532e-5
1.364,   1.536e-5
1.365,   1.547e-5
1.366,   1.551e-5
1.367,   1.561e-5
1.368,   1.568e-5
1.369,   1.575e-5
1.370,   1.586e-5
1.371,   1.590e-5
1.372,   1.600e-5
1.373,   1.613e-5
1.374,   1.619e-5
1.375,   1.630e-5
1.376,   1.640e-5
1.377,   1.649e-5
1.378,   1.662e-5
1.379,   1.667e-5
1.380,   1.676e-5
1.381,   1.683e-5
1.382,   1.694e-5
1.383,   1.708e-5
1.384,   1.719e-5
1.385,   1.729e-5
1.386,   1.744e-5
1.387,   1.755e-5
1.388,   1.772e-5
1.389,   1.785e-5
1.390,   1.794e-5
1.391,   1.809e-5
1.392,   1.823e-5
1.393,   1.841e-5
1.394,   1.854e-5
1.395,   1.870e-5
1.396,   1.885e-5
1.397,   1.904e-5
1.398,   1.921e-5
1.399,   1.944e-5
1.400,   1.965e-5
1.401,   1.988e-5
1.402,   2.006e-5
1.403,   2.025e-5
1.404,   2.055e-5
1.405,   2.078e-5
1.406,   2.100e-5
1.407,   2.127e-5
1.408,   2.155e-5
1.409,   2.185e-5
1.410,   2.219e-5
1.411,   2.248e-5
1.412,   2.280e-5
1.413,   2.317e-5
1.414,   2.356e-5
1.415,   2.390e-5
1.416,   2.428e-5
1.417,   2.474e-5
1.418,   2.521e-5
1.419,   2.566e-5
1.420,   2.614e-5
1.421,   2.666e-5
1.422,   2.711e-5
1.423,   2.768e-5
1.424,   2.826e-5
1.425,   2.884e-5
1.426,   2.948e-5
1.427,   3.010e-5
1.428,   3.079e-5
1.429,   3.146e-5
1.430,   3.219e-5
1.431,   3.297e-5
1.432,   3.372e-5
1.433,   3.457e-5
1.434,   3.549e-5
1.435,   3.635e-5
1.436,   3.723e-5
1.437,   3.809e-5
1.438,   3.913e-5
1.439,   4.017e-5
1.440,   4.129e-5
1.441,   4.238e-5
1.442,   4.358e-5
1.443,   4.483e-5
1.444,   4.610e-5
1.445,   4.739e-5
1.446,   4.874e-5
1.447,   5.020e-5
1.448,   5.163e-5
1.449,   5.322e-5
1.450,   5.481e-5
1.451,   5.641e-5
1.452,   5.810e-5
1.453,   5.989e-5
1.454,   6.165e-5
1.455,   6.358e-5
1.456,   6.556e-5
1.457,   6.754e-5
1.458,   6.963e-5
1.459,   7.172e-5
1.460,   7.396e-5
1.461,   7.628e-5
1.462,   7.873e-5
1.463,   8.114e-5
1.464,   8.348e-5
1.465,   8.594e-5
1.466,   8.860e-5
1.467,   9.122e-5
1.468,   9.406e-5
1.469,   9.711e-5
1.470,   1.005e-4
1.471,   1.036e-4
1.472,   1.070e-4
1.473,   1.103e-4
1.474,   1.135e-4
1.475,   1.169e-4
1.476,   1.204e-4
1.477,   1.240e-4
1.478,   1.276e-4
1.479,   1.314e-4
1.480,   1.351e-4
1.481,   1.391e-4
1.482,   1.432e-4
1.483,   1.473e-4
