Metal_Dopant_1,Metal_Dopant_2,Metal_Dopant_3,Metal_Dopant_4,Sample Name,Category_Label,Metal_Dopant_1_Proportion_Precursor,Metal_Dopant_2_Proportion_Precursor,Metal_Dopant_3_Proportion_Precursor,Metal_Dopant_4_Proportion_Precursor,Hydrothermal/Mixing Temperature (degree),Hydrothermal/Mixing Time (min),Hydrothermal/Mixing Strring/Ultrasonication,Hydrothermal/Mixing Strong Reductant in Liquid,Hydrothermal/Mixing Weak Reductant in Liquid,Hydrothermal/Mixing Mixed in Solid or Liquired,Annealing Temperature (degree),Annealing Rising Rate degree min-1,Annealing Time (min),Annealing Stirring,Annealing Inert Atmosphere,Annealing Reductive Atmosphere,Post ProcessingAcid Wash/Leaching/Quenching/Ultrasonication,Catalyst Loading (mg cm -2),Support Material Loading (mg cm -2),Support not Carbon,Electrode type Glassy Carbon/Carbon Paper (Ti Mesh),LSV Scanning Speed mV s-1,Electrolyte Proton Concentration (M),O2 saturated/1 for yes,Overpotential mV @10 mA cm-2
Ru,K,Pr,Nd,B5_400_BEST_#1_High_Quality(#28),best_high_quliaty_400,47,29,20,4,60,720,1,1,0,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,188
Ru,Mn,Sr,Er,B5_400_BEST_#1_High_Quality(#29),best_high_quliaty_400,47,29,21,3,26,370,1,1,0,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,237
Ru,K,Li,Pr,B5_400_BEST_#1_High_Quality(#30),best_high_quliaty_400,46,31,19,4,60,650,1,1,0,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,234
Ru,K,Sr,Nb,B5_400_BEST_#1_High_Quality(#31),best_high_quliaty_400,46,31,18,5,45,630,1,0,0,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,255
Ru,K,Sr,Er,B5_400_BEST_#1_High_Quality(#32),best_high_quliaty_400,43,39,11,7,60,370,1,0,0,0,400,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,214
Ru,K,Sr,Pr,B5_500_BEST_#1_Full(#1),best_full_500,50,26,18,6,60,670,1,0,0,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,258
Ru,Zn,Sr,Ta,B5_500_BEST_#1_Full(#2),best_full_500,62,20,11,7,60,600,1,0,0,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,243
Ru,Zn,Sr,Pr,B5_500_BEST_#1_Full(#3),best_full_500,60,24,12,4,33,590,1,0,0,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,259
Ru,Ca,K,Pr,B5_500_BEST_#1_Full(#4),best_full_500,58,25,13,4,60,660,1,1,0,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,193
Ru,Zn,Ba,Pr,B5_500_BEST_#1_Full(#5),best_full_500,57,31,8,4,60,560,1,1,0,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,214
