,Left_Hand_Side,Right_Hand_Side,Support,Confidence,Lift
0,MDP_1_Cr,Qualified,0.005154639175257732,1.0,1.7168141592920352
0,MDP_3_Te,Qualified,0.004418262150220913,1.0,1.7168141592920352
0,MDP_2_Cr,Qualified,0.005891016200294551,1.0,1.7168141592920352
0,MDP_2_Na,Qualified,0.004418262150220913,1.0,1.7168141592920352
0,MDP_2_Sr,Qualified,0.011045655375552283,1.0,1.7168141592920352
0,MDP_3_Er,Qualified,0.004418262150220913,1.0,1.7168141592920352
0,MDP_2_Zn,Qualified,0.011782032400589101,0.9411764705882353,1.615825091098386
0,MDP_2_W,Qualified,0.008100147275405008,0.9166666666666667,1.5737463126843658
0,MDP_1_Zn,Qualified,0.005154639175257732,0.875,1.5022123893805308
0,MDP_1_Se,Qualified,0.007363770250368188,0.8333333333333334,1.430678466076696
0,MDP_1_Ru,Qualified,0.18188512518409425,0.8288590604026845,1.422996970956821
0,HTEMP_LOWER_THAN_TEMP,Qualified,0.016936671575846832,0.8214285714285714,1.4102402022756004
0,MDP_1_Pd,Qualified,0.011782032400589101,0.8,1.3734513274336284
0,CL_0.3_0.6,Qualified,0.11413843888070692,0.7868020304568527,1.350792866448048
0,MDP_2_Ru,Qualified,0.11266568483063329,0.7727272727272727,1.3266291230893
0,MDP_2_Ti,Qualified,0.0066273932253313695,0.75,1.2876106194690264
0,MDP_3_Co,Qualified,0.018409425625920472,0.7352941176470588,1.2623633524206141
0,MDP_3_Pt,Qualified,0.005891016200294551,0.7272727272727272,1.2485921158487527
0,MDP_3_Cu,Qualified,0.008836524300441826,0.7058823529411764,1.2118688183237896
0,MDP_1_Sr,Qualified,0.04050073637702504,0.7051282051282052,1.2105740866802814
0,SL_0.1_0.2,Qualified,0.09204712812960236,0.702247191011236,1.2056279208511484
