DOI,Country,Facility,Journal,Impact Factor,Published Date,Cited Times,Number of days until 01/20/2023,Average cited times per day,Metal_Dopant_1,Metal_Dopant_2,Metal_Dopant_3,Metal_Dopant_4,Sample Name,Metal_Dopant_1_Proportion_Precursor,Metal_Dopant_2_Proportion_Precursor,Metal_Dopant_3_Proportion_Precursor,Metal_Dopant_4_Proportion_Precursor,Hydrothermal/Mixing Temperature (degree),Hydrothermal/Mixing Time (min),Hydrothermal/Mixing Strring/Ultrasonication,Hydrothermal/Mixing Strong Reductant in Liquid,Hydrothermal/Mixing Weak Reductant in Liquid,Hydrothermal/Mixing Mixed in Solid or Liquired,Annealing Temperature (degree),Annealing Rising Rate degree min-1,Annealing Time (min),Annealing Stirring,Annealing Inert Atmosphere,Annealing Reductive Atmosphere,Post ProcessingAcid Wash/Leaching/Quenching/Ultrasonication,Catalyst Loading (mg cm -2),Support Material Loading (mg cm -2),Support not Carbon,Electrode type Glassy Carbon/Carbon Paper (Ti Mesh),LSV Scanning Speed mV s-1,Electrolyte Proton Concentration (M),O2 saturated/1 for yes,Overpotential mV @10 mA cm-2
1st batch experiments,Hong Kong,HKUST,EXP,0,1/23/2023,0,0,0,Ru,Sr,Ce,Zr,B1_BEST_500_#8_High_Quality,48,32,19,1,44,1170,1,0,1,0,500,1.67,360,0,0,0,1,0.5,0,0,0,5,1,1,218
1st batch experiments,Hong Kong,HKUST,EXP,0,1/23/2023,0,0,0,Ru,Ba,K,Sn,B1_BEST_500_#9_Full,42,35,17,6,27,1410,1,0,0,1,500,1.67,360,0,0,0,0,0.5,0,0,0,5,1,1,343
1st batch experiments,Hong Kong,HKUST,EXP,0,1/23/2023,0,0,0,Ru,Zn,K,In,B1_BEST_500_#10_High_Quality,42,32,19,7,30,930,1,0,1,0,500,1.67,360,0,0,0,1,0.5,0,0,0,5,1,1,240
1st batch experiments,Hong Kong,HKUST,EXP,0,1/23/2023,0,0,0,Ru,In,K,Gd,B1_VARIANCE_500_#11_Full,47,30,19,4,27,1020,1,0,1,0,500,1.67,360,0,0,0,0,0.5,0,0,0,5,1,1,242
1st batch experiments,Hong Kong,HKUST,EXP,0,1/23/2023,0,0,0,Ru,Cr,K,Re,B1_VARIANCE_500_#12_High_Quality,47,27,19,7,26,1030,1,0,0,0,500,1.67,360,0,0,0,0,0.5,0,0,0,5,1,1,250
1st batch experiments,Hong Kong,HKUST,EXP,0,1/23/2023,0,0,0,Ru,Cr,K,Sm,B1_VARIANCE_500_#13_High_Quality,50,26,19,5,33,970,1,0,1,0,500,1.67,360,0,0,0,0,0.5,0,0,0,5,1,1,239
1st batch experiments,Hong Kong,HKUST,EXP,0,1/23/2023,0,0,0,Ru,Mn,K,W,B1_BEST_500_#14_High_Quality,48,28,20,4,41,1310,1,0,0,0,500,1.67,360,0,0,0,0,0.5,0,0,0,5,1,1,208
1st batch experiments,Hong Kong,HKUST,EXP,0,1/23/2023,0,0,0,Ru,Ba,K,La,B1_BEST_500_#15_Full,42,31,16,11,56,1380,1,0,0,0,500,1.67,360,0,0,0,1,0.5,0,0,0,5,1,1,254
1st batch experiments,Hong Kong,HKUST,EXP,0,1/23/2023,0,0,0,Ru,Sr,K,W,B1_BEST_500_#16_High_Quality,42,28,20,10,47,1120,1,0,0,0,500,1.67,360,0,0,0,1,0.5,0,0,0,5,1,1,227
1st batch experiments,Hong Kong,HKUST,EXP,0,1/23/2023,0,0,0,Ru,Sr,K,Er,B1_BEST_500_#17_High_Quality,47,29,17,7,25,1130,1,0,1,0,500,1.67,360,0,0,0,1,0.5,0,0,0,5,1,1,235
