,Element_Type,Occurence
1,Ir,206
2,Ru,146
3,Co,51
4,Sr,34
5,Ni,27
6,Cu,20
7,Mn,20
8,Pt,16
9,S,14
10,W,12
11,Se,12
12,Ti,10
13,Sn,10
14,Fe,9
15,Y,9
16,Sb,8
17,Mo,8
18,Ce,8
19,Na,7
20,N,7
21,Zn,7
22,Ba,6
23,Ta,5
24,La,5
25,Au,4
26,Li,4
27,Pr,4
28,Cr,4
29,Er,4
30,Pb,3
31,Ca,3
32,Lu,3
33,Te,3
34,Nd,3
35,Bi,3
36,Ho,3
37,Eu,2
38,Nb,2
39,Ag,2
40,B,2
41,In,2
42,Zr,2
43,Tm,1
44,Cl,1
45,F,1
46,Pd,1
47,Br,1
48,V,1
49,Rh,1
50,Sm,1
51,Os,1
52,K,1
